City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tual,-5.6667,132.75,26.99,74,21,5.21,ID,1698285698
84,constantia,44.1833,28.65,16.5,76,100,4.77,RO,1698285698
85,port saint john's,-31.6229,29.5448,16.55,88,20,3.44,ZA,1698285699
86,rio grande,-32.035,-52.0986,14.41,78,100,4.71,BR,1698285696
87,luderitz,-26.6481,15.1594,15.79,83,2,3.13,NA,1698285699
88,mejit,10.2753,170.8646,28.12,77,75,4.7,MH,1698285699
89,gryazi,52.4966,39.9359,1.77,54,100,2.24,RU,1698285700
90,hassi messaoud,31.6804,6.0729,18.92,45,0,0.51,DZ,1698285700
91,newman,37.3138,-121.0208,17.94,62,96,3.58,US,1698285700
92,katsuura,35.1333,140.3,20.08,52,0,3.13,JP,1698285700
93,georgetown,5.4112,100.3354,29.97,85,20,1.03,MY,1698285701
94,galliano,29.4422,-90.2992,26.0,69,0,4.63,US,1698285701
95,banda aceh,5.5577,95.3222,27.97,74,92,3.5,ID,1698285701
96,kingscliff,-28.2667,153.5667,27.09,54,100,8.75,AU,1698285701
97,pirallahi,40.4723,50.333,18.08,79,23,6.2,AZ,1698285702
98,bargaal,11.2864,51.0773,26.28,83,86,2.98,SO,1698285702
99,coahuayana de hidalgo,18.7,-103.6583,25.21,89,100,0.19,MX,1698285702
100,kainantu,-6.2887,145.8655,22.04,73,85,1.66,PG,1698285702
101,vadso,70.0744,29.7487,-3.51,90,100,6.52,NO,1698285703
102,muan,34.9897,126.4714,18.94,82,20,1.54,KR,1698285703
103,cockburn town,21.4612,-71.1419,28.23,60,0,8.8,TC,1698285502
104,christchurch,-43.5333,172.6333,19.11,48,100,11.83,NZ,1698285545
105,sechura,-5.5569,-80.8222,21.87,74,16,5.97,PE,1698285704
106,nelson bay,-32.7167,152.15,15.05,93,100,5.81,AU,1698285704
107,bredasdorp,-34.5322,20.0403,13.33,84,100,1.55,ZA,1698285704
108,prince rupert,54.3161,-130.3201,8.83,48,0,4.12,CA,1698285697
109,pombas,17.1503,-25.0201,24.88,77,10,4.96,CV,1698285705
110,ola,59.5833,151.2833,-3.25,61,0,2.68,RU,1698285705
111,trinidad,-14.8333,-64.9,29.48,51,77,2.16,BO,1698285705
112,polyarnyy,69.1989,33.4478,-4.8,87,100,4.03,RU,1698285705
113,rongelap,11.1635,166.8941,28.02,74,42,5.8,MH,1698285705
114,hadibu,12.65,54.0333,26.25,82,88,4.17,YE,1698285706
115,awjilah,29.1081,21.2869,22.97,41,96,2.98,LY,1698285706
116,choyr,46.3611,108.3611,5.75,19,6,1.4,MN,1698285706
117,sitka,57.0531,-135.33,4.7,57,20,2.16,US,1698285706
118,atafu village,-8.5421,-172.5159,28.57,76,31,5.71,TK,1698285707
119,pisco,-13.7,-76.2167,20.03,83,100,1.54,PE,1698285707
120,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,78,75,6.0,RU,1698285707
121,iskateley,67.6803,53.1512,-3.88,87,100,3.58,RU,1698285707
122,iqaluit,63.7506,-68.5145,-7.15,73,75,1.03,CA,1698285614
123,ilulissat,69.2167,-51.1,-1.99,46,75,1.54,GL,1698285708
124,coromandel,-18.4733,-47.2003,21.31,75,100,1.02,BR,1698285655
125,anadyr,64.75,177.4833,4.28,100,100,9.0,RU,1698285708
126,hermanus,-34.4187,19.2345,15.39,81,100,1.88,ZA,1698285708
127,thabazimbi,-24.5917,27.4116,19.56,69,0,2.24,ZA,1698285709
128,isafjordur,66.0755,-23.124,2.75,89,64,3.12,IS,1698285709
129,vorgashor,67.5833,63.95,-18.31,99,100,1.5,RU,1698285709
130,chaohu,31.6,117.8667,24.07,47,14,1.21,CN,1698285709
131,kiskunhalas,46.434,19.4848,14.23,61,94,4.57,HU,1698285709
132,puerto ayora,-0.7393,-90.3518,24.19,93,96,2.24,EC,1698285710
133,flying fish cove,-10.4217,105.6791,27.82,78,75,5.14,CX,1698285710
134,fort st. john,56.2499,-120.8529,-8.06,86,100,3.6,CA,1698285648
